distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_started,main_key_stopped,main_img_started,main_img_stopped,contineu_block_started,contineu_block_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,red,1,k,NaN,NaN,NaN,NaN,0,0,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.3897048999788,None,42.3897048999788,None,space,2.41946489992552,92.1881406999892,None,92.1881406999892,None,92.7248655000003,None,92.7248655000003,None,94.7746391999535,None,94.7746391999535,None,prac,k,k,1,4.89126080006827,96.7976419000188,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,0,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,2.1147018999327,103.740296000033,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,yellow,1,None,NaN,NaN,NaN,NaN,0,2,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,k,0,0.834191799978726,107.857686600066,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.15230349998455,110.688800000004,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,blue,1,None,NaN,NaN,NaN,NaN,0,4,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49800650007091,112.839435899979,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,blue,1,None,NaN,NaN,NaN,NaN,0,5,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49312320002355,115.338991699973,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,0,6,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01097649999429,117.841458400013,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,0,7,7,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01496339996811,119.845253700041,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,0,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01058150001336,121.864094399964,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,yellow,1,None,NaN,NaN,NaN,NaN,0,9,9,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49644640006591,123.873247400043,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,yellow,1,None,NaN,NaN,NaN,NaN,0,10,10,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.47517629992217,126.372803800041,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,blue,1,None,NaN,NaN,NaN,NaN,0,11,11,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49595750006847,128.848975099972,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,131.361696499982,None,0.021296296,-0.21666667,0,0,0,0.0290523699950427,None,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,None,131.361696499982,None,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,5,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,141.702715800027,None,141.702715800027,None,main,None,None,1,1.4947723998921,143.723936100025,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,131.361696499982,None,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,4,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.47803340002429,146.223781000008,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,1,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.10612200002652,148.7075434,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,6,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48560120002367,150.812883200007,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,0,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.70399429998361,153.290681999992,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,11,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.10093909990974,156.010358100059,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,7,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.50046240002848,158.105158400023,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,2,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.784450999926776,160.608045700006,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,8,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48086699994747,162.40028870001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,10,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.676491499994881,164.874591500033,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,9,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.805180899915285,166.559243600001,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,3,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49760069989134,168.359368200065,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,12,8,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48207130003721,170.858208199963,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,13,9,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.79034500010312,173.341688300017,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,14,1,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.04589049995411,176.131543900003,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,15,2,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,2.15907110006083,178.18264090002,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,16,7,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49827270000242,182.342435600003,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,17,0,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.16616380005144,184.842123199953,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,6,18,10,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.791934399981983,187.006949800067,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,7,19,5,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49686479999218,188.799742500065,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,8,20,11,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.79333409992978,191.298812599969,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,9,21,3,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48799059994053,193.087110899971,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,10,22,4,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48232439998537,195.582038099994,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,11,23,6,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48073000006843,198.065529400017,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,0,24,9,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,None,0,0.822242100024596,200.549912399962,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,1,25,7,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49069079989567,203.410475100041,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,2,26,2,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.909672599984333,205.900215300033,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,3,27,1,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.00487999990582,207.811431200011,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
