distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_block_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,id_,date,expName,psychopyVersion,frameRate
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,7,19,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,347.486830200069,k,k,1,0.700953100109473,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,8,20,8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,349.187872900162,None,None,1,1.52862969995476,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,9,21,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,351.720250000013,k,k,1,0.533703400054947,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,10,22,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,353.254543100018,None,None,1,1.53228839999065,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,11,23,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,355.786676299991,k,k,1,0.664263699902222,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,0,24,8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,357.454938800074,None,None,1,1.53105870005675,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,1,25,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,359.986747700023,k,k,1,0.966873700032011,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,2,26,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,361.955117000034,k,k,1,0.864334700163454,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,3,27,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,363.82170239999,None,None,1,1.53076829994097,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,4,28,7,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,366.353845300153,None,None,1,1.53062039986253,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,5,29,3,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,368.888030800037,None,None,1,1.53279479988851,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,6,30,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,371.420893999981,k,k,1,0.632645900128409,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,7,31,1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,373.055457300041,k,k,1,0.632541200146079,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,8,32,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,374.689023100073,k,k,1,0.632003700127825,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,9,33,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,376.323189900024,k,k,1,0.632864699931815,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,10,34,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,377.955741600133,None,None,1,1.52839750004932,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2,11,35,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,380.489163500024,None,None,1,1.53090599994175,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,383.021259800065,383.021259800065,space,12.5052736999933,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,7,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,395.572796900058,None,None,1,1.52767139999196,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,1,1,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,398.105622900184,None,None,1,1.530957599869,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,2,2,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,400.640837399988,k,k,1,0.833665000041947,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,3,3,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,402.473974900087,k,k,1,0.800541599979624,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,4,4,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,404.273525200086,k,k,1,0.761101100128144,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,5,5,8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,406.041035400005,None,None,1,1.52966969995759,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,6,6,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,408.573363700183,k,k,1,0.667051400057971,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,7,7,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,410.241539499955,k,k,1,0.69839460006915,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,8,8,3,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,411.940165100154,None,None,1,1.53158439998515,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,9,9,1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,414.47341740015,k,k,1,0.698735099984333,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,10,10,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,416.174947800115,None,None,1,1.53027649992146,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,0,11,11,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,418.706947800005,None,None,1,1.53123340010643,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,0,12,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,421.241351300152,k,k,1,0.53356339992024,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,1,13,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,422.77434740006,k,k,1,0.632061700103804,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,2,14,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,424.408504300052,None,None,1,1.52951009990647,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,3,15,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,426.940793200163,k,k,1,0.599643200170249,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,4,16,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,428.542269299971,None,None,1,1.53286839998327,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,5,17,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,431.073979499983,k,k,1,0.697553599951789,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,6,18,1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,432.775545000099,k,k,1,0.699102200102061,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,7,19,7,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,434.476715500001,None,None,1,1.53012370015495,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,8,20,8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,437.007764199981,None,None,1,1.53064100001939,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,9,21,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,439.541591200046,k,k,1,0.633132300106809,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,10,22,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,441.176034700125,None,None,1,1.5330342000816,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,1,11,23,3,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,443.708333200077,None,None,1,1.53040029993281,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,0,24,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,446.243060800014,k,k,1,0.699336900142953,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,1,25,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,447.942989700008,k,k,1,0.73102069995366,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,2,26,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,449.676606400171,k,k,1,0.698157000122592,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,3,27,6,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,451.376442000037,None,None,1,1.52970289997756,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,4,28,8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,453.908930100035,None,None,1,1.53331400011666,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,5,29,7,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,456.444025800098,None,None,1,1.53146290010773,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,6,30,1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,458.976239700103,k,k,1,0.666649800026789,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,7,31,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,460.643917400157,None,None,1,1.53035479993559,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,8,32,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,463.176517999964,k,k,1,0.53204150008969,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,9,33,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,464.709721600171,k,k,1,0.698179699946195,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,10,34,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,466.411046100082,None,None,1,1.5307520001661,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,11,35,3,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,468.94314720016,None,None,1,1.53075159993023,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,471.476536600152,471.476536600152,space,5.25073279975913,NaN,201,2023-08-15_11h42.18.846,Main,2023.1.2,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,476.79290430015,NaN,,,,
