distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_rt,main_key_started,main_key_stopped,main_img_started,main_img_stopped,id_,date,expName,psychopyVersion,frameRate
positive,yellow,1,None,NaN,NaN,NaN,NaN,0,0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.0648785000012,None,43.0648785000012,None,space,13.2205002999981,64.4683050999993,None,64.4683050999993,None,65.8459782999998,None,65.8459782999998,None,67.864577700002,None,67.864577700002,None,prac,None,None,1,1.52867950000291,69.8953451000016,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,0,1,1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50247949999903,72.3971505000009,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
negative,blue,1,None,NaN,NaN,NaN,NaN,0,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51571750000221,74.9100254000004,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.68164460000116,77.4265278999992,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,4,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.747346500000276,80.0945482999996,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,0,5,5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.747680800002854,81.8445944000014,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,0,6,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.714384599999903,83.5943594000018,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.4976994000026,85.3109552999995,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,8,8,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.798222800000076,87.8236708000004,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
positive,blue,1,None,NaN,NaN,NaN,NaN,0,9,9,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52168560000064,89.626179400002,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,602,2023-08-15_17h13.04.270,Main,2022.1.1,None
